Wall time,Step,Value
1747698071.0586758,4096,-5.678086280822754
1747698078.5391693,6144,-5.6907639503479
1747698086.305913,8192,-5.686836242675781
1747698093.2855368,10240,-5.66798734664917
1747698100.2448537,12288,-5.647541522979736
1747698107.8798404,14336,-5.555807113647461
1747698115.1269252,16384,-5.510186195373535
1747698122.6544955,18432,-5.507734298706055
1747698130.5885763,20480,-5.502718448638916
1747698138.6594508,22528,-5.463422775268555
1747698146.5482142,24576,-5.424346923828125
1747698154.7171462,26624,-5.389483451843262
1747698163.377591,28672,-5.341546058654785
1747698171.4070234,30720,-5.286329746246338
1747698179.28209,32768,-5.267727851867676
1747698187.2876625,34816,-5.2528581619262695
1747698197.2349865,36864,-5.23422908782959
1747698207.8710616,38912,-5.230393886566162
1747698218.4611137,40960,-5.230835914611816
1747698229.2179863,43008,-5.226581573486328
1747698239.7855768,45056,-5.204221248626709
1747698250.4563491,47104,-5.1623382568359375
1747698262.030556,49152,-5.144898414611816
1747698276.8284807,51200,-5.1463727951049805
1747698292.0859501,53248,-5.150211811065674
1747698306.7273343,55296,-5.143709659576416
1747698321.7664628,57344,-5.125097274780273
1747698335.5406656,59392,-5.121957302093506
1747698349.0290687,61440,-5.119067192077637
1747698362.8643909,63488,-5.076149940490723
1747698376.7784731,65536,-5.052770614624023
1747698391.1982367,67584,-5.0486884117126465
1747698405.6155698,69632,-5.049920082092285
1747698423.6856608,71680,-5.06071138381958
1747698440.8332472,73728,-5.051253795623779
1747698456.5196588,75776,-5.031914710998535
1747698472.5497658,77824,-5.023514270782471
1747698487.9224973,79872,-5.028545379638672
1747698503.9083714,81920,-4.9974517822265625
1747698518.5355608,83968,-4.968578815460205
1747698533.6878264,86016,-4.965050220489502
1747698548.4321377,88064,-4.961365699768066
1747698563.2073565,90112,-4.965800762176514
1747698579.285014,92160,-4.961325645446777
1747698602.3124697,94208,-4.933837413787842
1747698617.7461557,96256,-4.922667980194092
1747698633.1735272,98304,-4.923283100128174
1747698648.1954875,100352,-4.909721374511719
1747698666.493558,102400,-4.915660858154297
1747698684.7369714,104448,-4.894060134887695
1747698702.2462027,106496,-4.837357044219971
1747698719.0400436,108544,-4.754873752593994
1747698737.2487173,110592,-4.710106372833252
1747698754.914493,112640,-4.708445072174072
1747698771.2931852,114688,-4.680779933929443
1747698787.8066652,116736,-4.627842426300049
1747698803.5700655,118784,-4.597183704376221
1747698818.8618984,120832,-4.589860439300537
1747698834.805193,122880,-4.568995952606201
1747698849.8941505,124928,-4.541569709777832
1747698866.1532571,126976,-4.51231575012207
1747698883.817272,129024,-4.488802909851074
1747698900.8397672,131072,-4.483827114105225
1747698918.0528574,133120,-4.49146842956543
1747698934.883552,135168,-4.492156028747559
1747698952.0195792,137216,-4.47117280960083
1747698967.8163707,139264,-4.444764614105225
1747698985.0173688,141312,-4.4331207275390625
1747699000.8846905,143360,-4.426575183868408
1747699017.126912,145408,-4.429628849029541
1747699034.1225083,147456,-4.427757740020752
1747699050.5547342,149504,-4.419883728027344
1747699065.7064693,151552,-4.423187732696533
1747699081.2063203,153600,-4.421749591827393
1747699095.9865158,155648,-4.420742034912109
1747699111.379133,157696,-4.393456935882568
1747699126.29428,159744,-4.3274126052856445
1747699140.7952824,161792,-4.261473655700684
1747699155.0095837,163840,-4.235093116760254
1747699169.5655968,165888,-4.232290267944336
1747699185.1095524,167936,-4.246720790863037
1747699200.9955158,169984,-4.2347307205200195
1747699215.5000494,172032,-4.204869747161865
1747699229.946147,174080,-4.190722942352295
1747699243.7610402,176128,-4.181042671203613
1747699257.1820886,178176,-4.166387557983398
1747699271.5148215,180224,-4.158878326416016
1747699285.157406,182272,-4.1596245765686035
1747699299.6544266,184320,-4.157005786895752
1747699313.6144896,186368,-4.150431156158447
1747699326.9520326,188416,-4.145907402038574
1747699342.6071336,190464,-4.144092082977295
1747699357.2357755,192512,-4.111387252807617
1747699371.3452778,194560,-4.092803955078125
1747699384.8031502,196608,-4.092147350311279
1747699398.432763,198656,-4.088295936584473
1747699412.8944693,200704,-4.092048168182373
1747699426.9976573,202752,-4.090132713317871
1747699440.5250535,204800,-4.07527494430542
1747699453.8334372,206848,-4.071181297302246
1747699467.3009126,208896,-4.092131614685059
1747699481.532478,210944,-4.088531970977783
1747699495.2401054,212992,-4.0486955642700195
1747699509.0781994,215040,-3.9883861541748047
1747699522.8897035,217088,-3.9589858055114746
1747699536.7327073,219136,-3.9489634037017822
1747699550.5814075,221184,-3.9387683868408203
1747699564.945607,223232,-3.9314401149749756
1747699580.8830357,225280,-3.9292283058166504
1747699597.4411006,227328,-3.9194250106811523
1747699610.9905422,229376,-3.8996167182922363
1747699624.6839247,231424,-3.872971296310425
1747699639.5998156,233472,-3.832913637161255
1747699653.5180488,235520,-3.8118293285369873
1747699667.269228,237568,-3.808659315109253
1747699680.4284728,239616,-3.8074679374694824
1747699694.742741,241664,-3.7778117656707764
1747699708.5292182,243712,-3.758373975753784
1747699722.239195,245760,-3.7289466857910156
1747699736.1142569,247808,-3.682750940322876
1747699750.060257,249856,-3.6628122329711914
1747699763.6312275,251904,-3.6535089015960693
1747699776.8088112,253952,-3.6485331058502197
1747699790.0750215,256000,-3.645551919937134
1747699803.3682413,258048,-3.6444005966186523
1747699816.5431774,260096,-3.648186206817627
1747699829.766939,262144,-3.636828899383545
1747699842.778294,264192,-3.6484835147857666
1747699856.044039,266240,-3.6585896015167236
1747699868.9357994,268288,-3.6586694717407227
1747699882.1891272,270336,-3.65525484085083
1747699895.277754,272384,-3.6453192234039307
1747699908.2019918,274432,-3.629857063293457
1747699921.3556595,276480,-3.6161153316497803
1747699934.8364325,278528,-3.5955116748809814
1747699948.1723258,280576,-3.561502695083618
1747699961.940648,282624,-3.5549559593200684
1747699975.278935,284672,-3.5098016262054443
1747699988.827294,286720,-3.4859378337860107
1747700002.4672709,288768,-3.4556078910827637
1747700015.639218,290816,-3.4459424018859863
1747700029.3197048,292864,-3.4476723670959473
1747700043.08486,294912,-3.4530606269836426
1747700057.2296953,296960,-3.460193634033203
1747700070.8512883,299008,-3.4612557888031006
1747700087.145717,301056,-3.429056167602539
1747700104.9667099,303104,-3.3882055282592773
1747700120.1902168,305152,-3.379887580871582
1747700135.6242862,307200,-3.3711800575256348
1747700149.0380435,309248,-3.366093635559082
1747700162.8836725,311296,-3.351588487625122
1747700176.2298424,313344,-3.3420145511627197
1747700192.0144596,315392,-3.3429949283599854
1747700206.2366605,317440,-3.344616413116455
1747700220.6354377,319488,-3.324131965637207
1747700234.8552706,321536,-3.296107053756714
1747700249.3382494,323584,-3.2815418243408203
1747700263.9191785,325632,-3.2793264389038086
1747700278.0279562,327680,-3.270568609237671
1747700291.4637778,329728,-3.249919891357422
1747700305.0649076,331776,-3.241347074508667
1747700318.5539699,333824,-3.225900411605835
1747700332.20928,335872,-3.2073493003845215
1747700345.4367309,337920,-3.2112181186676025
1747700358.7027786,339968,-3.1837570667266846
1747700372.0438251,342016,-3.1377182006835938
1747700385.298881,344064,-3.106114149093628
1747700398.4122107,346112,-3.069288730621338
1747700412.3156424,348160,-3.0491158962249756
1747700426.2129657,350208,-3.0496175289154053
1747700440.02809,352256,-3.052008867263794
1747700453.5578973,354304,-3.0506649017333984
1747700467.1402369,356352,-3.051636219024658
1747700481.8716805,358400,-3.0259673595428467
1747700497.2045946,360448,-3.0084259510040283
1747700511.5677638,362496,-3.0062742233276367
1747700525.190655,364544,-3.003558874130249
1747700538.9091856,366592,-3.0002615451812744
1747700552.8851833,368640,-3.003732204437256
1747700566.5768535,370688,-2.99839186668396
1747700580.401928,372736,-2.9401981830596924
1747700593.969217,374784,-2.9080586433410645
1747700608.0771325,376832,-2.9162611961364746
1747700622.1189675,378880,-2.918062210083008
1747700635.522472,380928,-2.906088352203369
1747700648.967407,382976,-2.851644992828369
1747700662.373565,385024,-2.8016433715820312
1747700675.4643917,387072,-2.7814228534698486
1747700688.730672,389120,-2.7656376361846924
1747700702.1694884,391168,-2.7695345878601074
1747700715.4222896,393216,-2.761193037033081
1747700728.6890047,395264,-2.743185520172119
1747700741.8145542,397312,-2.7393648624420166
1747700754.934819,399360,-2.7249836921691895
1747700767.7532303,401408,-2.689493179321289
1747700780.878465,403456,-2.672065496444702
1747700793.9574137,405504,-2.6755902767181396
1747700806.8805008,407552,-2.677386522293091
1747700820.0773332,409600,-2.677704334259033
1747700833.1832829,411648,-2.6767587661743164
1747700846.3430405,413696,-2.6756486892700195
1747700859.6880183,415744,-2.6688008308410645
1747700872.9483263,417792,-2.655658006668091
1747700886.3035123,419840,-2.653481960296631
1747700899.2555707,421888,-2.647775888442993
1747700912.5852711,423936,-2.653993606567383
1747700925.98553,425984,-2.663867712020874
1747700939.3940897,428032,-2.661757230758667
1747700952.7519479,430080,-2.6777944564819336
1747700965.981094,432128,-2.686831474304199
1747700979.4138007,434176,-2.690535545349121
1747700992.4729605,436224,-2.6942737102508545
1747701005.8470356,438272,-2.691495895385742
1747701019.4048243,440320,-2.7072737216949463
1747701032.5470126,442368,-2.7129032611846924
1747701045.7272375,444416,-2.7100400924682617
1747701058.7285724,446464,-2.7021231651306152
1747701072.1430066,448512,-2.6947336196899414
1747701085.1707244,450560,-2.706042528152466
1747701098.2146602,452608,-2.7186408042907715
1747701111.5685174,454656,-2.685359001159668
1747701124.4280293,456704,-2.6643247604370117
1747701137.508998,458752,-2.643157958984375
1747701150.5936525,460800,-2.6365113258361816
1747701163.921626,462848,-2.6700754165649414
1747701177.1210618,464896,-2.6835927963256836
1747701190.4911013,466944,-2.6790740489959717
1747701203.4783285,468992,-2.6970789432525635
1747701216.9047554,471040,-2.7146174907684326
1747701230.2802987,473088,-2.7145438194274902
1747701243.7255867,475136,-2.6824607849121094
1747701257.3294644,477184,-2.663586139678955
1747701270.798166,479232,-2.607445001602173
1747701283.756226,481280,-2.57647967338562
1747701297.0600934,483328,-2.573899745941162
1747701310.77467,485376,-2.575805425643921
1747701324.4447262,487424,-2.5582613945007324
1747701337.8718362,489472,-2.5172207355499268
1747701351.4511442,491520,-2.4837543964385986
1747701364.8394132,493568,-2.4669694900512695
1747701378.2525225,495616,-2.4660379886627197
1747701391.7452583,497664,-2.453230857849121
1747701405.0226233,499712,-2.4220123291015625
1747701418.2736428,501760,-2.4156787395477295
1747701431.9140904,503808,-2.4137613773345947
1747701445.306512,505856,-2.407362699508667
1747701458.505278,507904,-2.3980419635772705
1747701471.3436396,509952,-2.3922297954559326
1747701484.1367075,512000,-2.3915436267852783
1747701497.07374,514048,-2.3823745250701904
1747701510.2362478,516096,-2.356734037399292
1747701523.5481088,518144,-2.3607685565948486
1747701536.6680233,520192,-2.374638557434082
1747701549.9475803,522240,-2.381221055984497
1747701563.1943674,524288,-2.373202323913574
1747701576.2622273,526336,-2.3478806018829346
1747701589.8108332,528384,-2.3202126026153564
1747701602.8023417,530432,-2.3005051612854004
1747701616.3875098,532480,-2.2637128829956055
1747701630.1181467,534528,-2.236821413040161
1747701643.7953415,536576,-2.2368242740631104
1747701657.1088777,538624,-2.234234094619751
1747701670.5263205,540672,-2.2227561473846436
1747701683.8320875,542720,-2.1912527084350586
1747701697.3044393,544768,-2.1354198455810547
1747701710.8175786,546816,-2.087897777557373
1747701723.9184628,548864,-2.083627700805664
1747701737.5831525,550912,-2.0699994564056396
