Wall time,Step,Value
1747698199.3324645,2048,-301.6191711425781
1747698209.8171537,4096,-297.5898132324219
1747698220.0650532,6144,-276.5981750488281
1747698230.615951,8192,-256.21746826171875
1747698240.7366312,10240,-241.110595703125
1747698251.13887,12288,-225.4978485107422
1747698262.19371,14336,-217.098388671875
1747698277.0752716,16384,-207.69044494628906
1747698292.1824312,18432,-203.66441345214844
1747698306.8223073,20480,-186.4136962890625
1747698321.699127,22528,-169.1981964111328
1747698335.1412373,24576,-156.52806091308594
1747698348.3816457,26624,-143.4392547607422
1747698362.1127915,28672,-145.43624877929688
1747698375.8735867,30720,-141.53594970703125
1747698390.1171281,32768,-135.95396423339844
1747698404.025249,34816,-132.81512451171875
1747698421.44237,36864,-122.51522827148438
1747698438.9612992,38912,-124.6051254272461
1747698454.457141,40960,-118.42481994628906
1747698470.1955478,43008,-118.20320129394531
1747698485.56268,45056,-116.5467758178711
1747698501.3641033,47104,-113.40715026855469
1747698516.1946464,49152,-109.54054260253906
1747698531.076587,51200,-100.564208984375
1747698546.008251,53248,-101.38251495361328
1747698560.3237445,55296,-96.8955078125
1747698574.8610585,57344,-90.56419372558594
1747698597.932317,59392,-85.51747131347656
1747698614.1885016,61440,-78.30514526367188
1747698629.358092,63488,-76.43571472167969
1747698644.2957504,65536,-63.71138381958008
1747698661.092947,67584,-59.22691345214844
1747698679.2749672,69632,-57.44293975830078
1747698696.1836703,71680,-50.69063949584961
1747698713.6882062,73728,-47.42462158203125
1747698732.0335221,75776,-43.07162094116211
1747698749.87009,77824,-37.659767150878906
1747698766.6588707,79872,-26.570497512817383
1747698782.80388,81920,-19.963577270507812
1747698798.5817072,83968,-15.468137741088867
1747698813.7964747,86016,-10.2925443649292
1747698830.3766096,88064,-6.982817649841309
1747698845.1253514,90112,-0.9167239665985107
1747698861.421619,92160,3.05989933013916
1747698878.4198847,94208,4.563925743103027
1747698896.014252,96256,8.027460098266602
1747698912.7582994,98304,12.610743522644043
1747698929.5169902,100352,20.917566299438477
1747698946.5607326,102400,24.70600128173828
1747698962.7225487,104448,28.516826629638672
1747698979.2536757,106496,30.905670166015625
1747698995.12518,108544,31.951562881469727
1747699010.9584796,110592,35.874446868896484
1747699026.4830556,112640,36.760986328125
1747699043.5500844,114688,42.40382766723633
1747699059.081421,116736,46.36784362792969
1747699074.2906513,118784,52.08123016357422
1747699088.9618897,120832,57.6922492980957
1747699104.037618,122880,65.20874786376953
