rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_range
-115.64755274999999,2048,1,5,385,461.25,,,,,,,,,,,
-111.27627299999999,4096,2,12,318,512.0,0.0003,1.0025802850723267,0.0671875,-0.0069803990423679355,10,0.009828686714172363,0.008919507,108.57321166992188,115.27896275967359,-5.6780861765146255,0.2
-113.63623033333333,6144,3,20,302,467.9166666666667,0.0003,1.0061891078948975,0.09013671875,-0.008190198804368266,20,-0.011777639389038086,0.008180882,30.730167388916016,66.39454667698593,-5.6907638877630236,0.2
-114.6115003125,8192,4,28,291,506.3125,0.0003,0.9994754195213318,0.038623046875,-0.00754663382540457,30,0.13631725311279297,0.007184822,9.212646484375,117.76498764902354,-5.6868363037705425,0.2
-113.8921511111111,10240,5,35,291,541.4444444444445,0.0003,0.9975159168243408,0.103759765625,-0.0074204763543093575,40,0.20233672857284546,0.011576493,32.841705322265625,77.96329187378288,-5.667987209558487,0.2
-112.92715278947368,12288,6,42,292,597.1578947368421,0.0003,0.9897217750549316,0.107177734375,-0.007072974025504664,50,0.4777953028678894,0.008057673,0.06259962171316147,24.061468113074078,-5.647541539371014,0.2
-112.14968104166667,14336,7,49,288,551.3333333333334,0.0003,0.9591881036758423,0.153515625,-0.012547465169336646,60,-0.08299458026885986,0.013262443,0.05222770944237709,0.24801750581245868,-5.555807311832905,0.2
-112.00277665384615,16384,8,56,287,573.5769230769231,0.0003,0.9595655202865601,0.012060546875,-0.004064358107279986,70,0.390624463558197,0.004645815,9.63094425201416,83.67210455983877,-5.510186132788658,0.2
-111.18665919354838,18432,9,64,285,592.5483870967741,0.0003,0.9571121335029602,0.06298828125,-0.008371551212621852,80,0.7370675802230835,0.009988304,0.2935604751110077,18.349120096350088,-5.507734118402004,0.2
-111.08457287499999,20480,10,72,282,624.03125,0.0003,0.9584414958953857,0.02880859375,-0.007119427298312076,90,0.6857532262802124,0.004461879,18.19730567932129,49.97227283399552,-5.5027185648679735,0.2
-112.94794976470587,22528,11,80,280,632.5,0.0003,0.9406877756118774,0.099658203125,-0.009083136802655645,100,-0.1668316125869751,0.010053679,0.11994481086730957,0.2711255160276778,-5.463422916829586,0.2
-112.49069588571427,24576,12,88,278,660.1428571428571,0.0003,0.9377301335334778,0.01611328125,-0.003500611401977949,110,0.3517453074455261,0.0041731438,1.1825129985809326,44.64512619199231,-5.424346889555454,0.2
-111.58053064864863,26624,13,96,275,710.9459459459459,0.0003,0.9261022806167603,0.103369140625,-0.01024143723770976,120,-1.446138858795166,0.009615017,0.03447254002094269,0.2583790322300047,-5.389483416080475,0.2
-111.10005431578946,28672,14,105,272,734.3421052631579,0.0003,0.9144920110702515,0.1642578125,-0.014969102252507582,130,0.23524415493011475,0.011488667,0.06326234340667725,0.17738394131883978,-5.341546025872231,0.2
-110.807816125,30720,15,113,271,739.275,0.0003,0.9019337892532349,0.143505859375,-0.013719458058767486,140,0.732201099395752,0.010849113,0.030120983719825745,0.07837189345154912,-5.286329673230648,0.2
-110.41159092682926,32768,16,121,270,760.2682926829268,0.0003,0.904233455657959,0.034716796875,-0.005249373329570517,150,0.6762184500694275,0.005611555,0.16367846727371216,12.210242423019372,-5.267727929353714,0.2
-110.82706997674418,34816,17,129,269,781.3488372093024,0.0003,0.896912157535553,0.119384765625,-0.012099809825303964,160,-0.03292500972747803,0.01094933,0.06836652755737305,0.1457518393173814,-5.252858185768128,0.2
-110.35195677777779,36864,18,139,265,817.7333333333333,0.0003,0.8941601514816284,0.057861328125,-0.003956969495629892,170,0.3956649899482727,0.004857691,0.3090231716632843,11.094943343661726,-5.234229271113873,0.2
-111.41086122916668,38912,19,149,259,801.8541666666666,0.0003,0.8958789110183716,0.060498046875,-0.009011751602520235,180,0.9258653521537781,0.008792733,0.0798487588763237,0.6711294206557795,-5.230393812060356,0.2
-113.46537658000001,40960,20,160,255,817.86,0.0003,0.8943649530410767,0.02734375,-0.005563972645904869,190,0.7595499753952026,0.00409563,0.4919736385345459,26.475325658358635,-5.230836009979248,0.2
-112.95958727450983,43008,21,171,251,833.1960784313726,0.0003,0.8941646218299866,0.070654296875,-0.006108162991586142,200,0.8586813807487488,0.0057727555,9.70890998840332,15.73043392309919,-5.226581636071205,0.2
-112.52508665384617,45056,22,181,248,847.9423076923077,0.0003,0.884365439414978,0.08232421875,-0.007063508573628497,210,0.47860974073410034,0.00938076,0.14620713889598846,0.42649383016396314,-5.204221341013908,0.2
