rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/learning_rate,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction
-107.63392428571429,2048,3,630,1,69.57142857142857,,,,,,,,,,,
-107.44777738461538,4096,8,479,2,308.0,-5.680248731374741,260.85862666368484,147.21437072753906,0.0003,1.0025776624679565,0.2,0.0062741237,-0.007834341717534698,10,-0.0012049674987792969,0.04560546875
-107.45928383333333,6144,13,453,3,322.72222222222223,-5.6924928918480875,124.51061966493725,64.98157501220703,0.0003,1.0062384605407715,0.2,0.010371554,-0.007093421558965929,20,-0.04364216327667236,0.09130859375
-107.92549799999999,8192,18,441,4,373.25,-5.685737834870816,108.58978419154883,5.9071502685546875,0.0003,0.9983818531036377,0.2,0.00780777,-0.005520690957200714,30,0.2479957938194275,0.0544921875
-108.48892657142856,10240,23,433,5,431.6666666666667,-5.638239265978337,24.56682850625366,0.29280054569244385,0.0003,0.9883437156677246,0.2,0.01137027,-0.011230137807433493,40,0.6728562116622925,0.162060546875
-108.58040373913042,12288,28,425,6,465.9130434782609,-5.618354377150536,0.6219102161936462,0.07089481502771378,0.0003,0.9851705431938171,0.2,0.012292327,-0.018928352353395895,50,0.09768301248550415,0.175732421875
-109.11846330303031,14336,33,423,7,397.2121212121212,-5.603126960992813,21.641731132147832,10.835841178894043,0.0003,0.9782251119613647,0.2,0.010069239,-0.010799378762021661,60,0.2321234941482544,0.084326171875
-109.44515808108109,16384,38,422,8,404.86486486486484,-5.5902268752455715,175.20150357484818,111.51045227050781,0.0003,0.9796847105026245,0.2,0.0023456113,-0.003325714447419159,70,0.26393216848373413,0.002978515625
-109.71518922499999,18432,43,421,9,456.15,-5.588201385736466,69.30839390903711,34.35112762451172,0.0003,0.9775195717811584,0.2,0.00322345,-0.005940848932368681,80,0.3285143971443176,0.012841796875
-109.65368123809523,20480,48,419,10,474.35714285714283,-5.586973577737808,19.151758462935685,30.237993240356445,0.0003,0.9787781238555908,0.2,0.008301631,-0.006928232015343383,90,0.5955559611320496,0.0728515625
-109.29944395454545,22528,53,419,11,490.79545454545456,-5.588525831699371,13.875530230998994,0.3641262352466583,0.0003,0.9770126938819885,0.2,0.013291927,-0.01129836261679884,100,0.7136552333831787,0.10537109375
