time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/clip_fraction,train/std,train/learning_rate,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss
10,2048,-106.158601,1600.0,1,197,,,,,,,,,,,
25,4096,-106.16286975,827.75,2,159,0.01150492,0.162939453125,0.9942275881767273,0.0003,10,0.2,-0.015850089825107716,0.5280201612971723,-0.19402873516082764,-5.660708136856556,0.2397475689649582
40,6144,-106.86940466666665,836.1666666666666,3,150,0.0038802172,0.012060546875,0.992077112197876,0.0003,20,0.2,-0.0022340842086123304,66.74030263386666,-0.0005958080291748047,-5.648423384130001,0.8941835761070251
55,8192,-106.32594614285713,945.2857142857143,4,147,0.006827671,0.072216796875,0.9887647032737732,0.0003,30,0.2,-0.0059906870490522126,34.6849452342838,0.19123733043670654,-5.638132955133915,11.708373069763184
69,10240,-104.54213866666666,1090.7777777777778,5,147,0.013347009,0.12197265625,0.9747868180274963,0.0003,40,0.2,-0.011920646912767553,0.25110957322176547,-0.040060997009277344,-5.5973539158701895,0.05212755873799324
82,12288,-104.5242859,1141.7,6,148,0.009692904,0.091796875,0.9500404000282288,0.0003,50,0.2,-0.013528073276393115,0.17419666938949377,0.32618844509124756,-5.518471127748489,0.033839594572782516
96,14336,-104.0368949090909,1183.3636363636363,7,148,0.01168569,0.1333984375,0.9222730994224548,0.0003,60,0.2,-0.017043090256629513,0.0766771219437942,0.40526509284973145,-5.400500345230102,0.021544232964515686
110,16384,-102.01936338461536,1247.4615384615386,8,148,0.01191244,0.131787109375,0.9046529531478882,0.0003,70,0.2,-0.013138295439421199,0.06475574645446613,0.6052029132843018,-5.30839327275753,0.011234905570745468
125,18432,-100.44988442857141,1272.642857142857,9,147,0.010623612,0.11220703125,0.887372612953186,0.0003,80,0.2,-0.010993695785873569,0.06605487396009266,0.6175166964530945,-5.2322241991758345,0.03775547444820404
139,20480,-98.84574299999998,1294.4666666666667,10,146,0.011868166,0.125390625,0.8711767792701721,0.0003,90,0.2,-0.01333429665537551,0.06874350620782935,0.8549363613128662,-5.154920193552971,0.022376902401447296
157,22528,-96.8304420625,1313.5625,11,142,0.008714907,0.09111328125,0.8616108894348145,0.0003,100,0.2,-0.010963904068921693,0.06558596645481884,0.7347522974014282,-5.096953202784062,0.01165105402469635
174,24576,-95.12503936842104,1278.6315789473683,12,140,0.009168045,0.11728515625,0.8540852069854736,0.0003,110,0.2,-0.01389799513563048,0.07893077047774569,0.4551178216934204,-5.059239172935486,0.02996872365474701
190,26624,-93.3451743,1294.7,13,139,0.007792274,0.045751953125,0.8498764634132385,0.0003,120,0.2,-0.00802288318227511,25.90608061279636,0.06720036268234253,-5.031978112459183,4.367538928985596
206,28672,-92.62662513636364,1252.6818181818182,14,138,0.01211332,0.13671875,0.8454017043113708,0.0003,130,0.2,-0.01435717529093381,0.10875728682149202,0.6562609672546387,-5.013136833906174,0.05583881214261055
221,30720,-91.16330013043479,1267.7826086956522,15,138,0.0070122415,0.0650390625,0.8442401885986328,0.0003,140,0.2,-0.005332150601316243,22.548224073741586,0.2665508985519409,-4.9989677399396895,0.07900480926036835
237,32768,-89.37505132,1294.36,16,137,0.0072166133,0.0890625,0.8357766270637512,0.0003,150,0.2,-0.010161301630432718,0.3281974729616195,0.7984579801559448,-4.975943332910537,0.07678710669279099
252,34816,-88.0601565,1306.1153846153845,17,138,0.010367073,0.1046875,0.8224403858184814,0.0003,160,0.2,-0.012142746182507835,0.3142156901303679,0.8313834071159363,-4.924621640145778,0.1268671602010727
267,36864,-86.78274966666667,1317.0,18,137,0.010899777,0.12333984375,0.8055218458175659,0.0003,170,0.2,-0.01359795492462581,0.10065508174011484,0.520779013633728,-4.843217588961124,0.020127970725297928
282,38912,-84.78438927586207,1336.5172413793102,19,137,0.010043178,0.10322265625,0.7927294969558716,0.0003,180,0.2,-0.013935277203563601,0.0815743749262765,0.6607280969619751,-4.775146540999413,0.03160816431045532
296,40960,-83.44417433333334,1345.3,20,138,0.00907903,0.101416015625,0.7848230600357056,0.0003,190,0.2,-0.011931457466562278,0.08321973393904045,0.5153013467788696,-4.722123183310032,0.01932363584637642
313,43008,-82.15444467741935,1353.516129032258,21,137,0.010651547,0.108349609375,0.7750856876373291,0.0003,200,0.2,-0.010794652500771917,0.09459464219398797,0.779283881187439,-4.677151946723461,0.05614924803376198
335,45056,-81.09071993750001,1361.21875,22,134,0.012568609,0.12822265625,0.7631409168243408,0.0003,210,0.2,-0.01354465421027271,0.08641585138393566,0.6955832242965698,-4.62340227663517,0.034112051129341125
351,47104,-78.60170302941178,1375.264705882353,23,134,0.012054862,0.13115234375,0.7526355385780334,0.0003,220,0.2,-0.01544108943635365,0.11623190650716424,0.7441568374633789,-4.561778013408184,0.026008255779743195
366,49152,-77.1848824,1381.6857142857143,24,134,0.013003008,0.128759765625,0.7469431161880493,0.0003,230,0.2,-0.012382026214618235,0.17578275396954268,0.740179717540741,-4.524192425608635,0.055798113346099854
381,51200,-75.96829575000001,1387.75,25,134,0.009425101,0.111962890625,0.7353893518447876,0.0003,240,0.2,-0.012293028520070947,0.12920144589152188,0.6851078271865845,-4.473238398134709,0.057287219911813736
399,53248,-72.71290339473684,1398.921052631579,26,133,0.011883007,0.14384765625,0.7259746789932251,0.0003,250,0.2,-0.013409430711180902,0.1570885288529098,0.7344474792480469,-4.41608987301588,0.06255653500556946
417,55296,-70.97360894871795,1404.076923076923,27,132,0.0101951435,0.12646484375,0.7182759642601013,0.0003,260,0.2,-0.012808679400768597,0.15726140211336315,0.8161048889160156,-4.368312826752662,0.040335800498723984
434,57344,-69.161490975,1408.975,28,131,0.01081332,0.133740234375,0.713957667350769,0.0003,270,0.2,-0.014818732743151486,0.13846594812348484,0.8555167317390442,-4.333764737844467,0.06268110871315002
451,59392,-68.50815269047618,1381.6904761904761,29,131,0.011253621,0.125732421875,0.7115433216094971,0.0003,280,0.2,-0.014709184237290174,0.13749512983486056,0.7529919743537903,-4.3173645555973055,0.05049102008342743
469,61440,-64.91614593181818,1391.6136363636363,30,130,0.01033498,0.10439453125,0.712320864200592,0.0003,290,0.2,-0.009390311763854697,37.617618108913305,-0.14906620979309082,-4.31430102288723,25.273839950561523
487,63488,-63.432139521739124,1377.9782608695652,31,130,0.010096395,0.124169921875,0.703559160232544,0.0003,300,0.2,-0.014963973453268409,0.35560753373429177,0.4739804267883301,-4.291439680755138,0.08576810359954834
503,65536,-61.129234127659565,1382.7021276595744,32,130,0.010641375,0.101123046875,0.7005409002304077,0.0003,310,0.2,-0.004690925491740927,17.835716109676287,0.2958748936653137,-4.258218164741993,0.18090033531188965
520,67584,-58.87803335416667,1387.2291666666667,33,129,0.01110736,0.120068359375,0.6910005807876587,0.0003,320,0.2,-0.010542023583548143,0.23800928476266564,0.7870092391967773,-4.220274126529693,0.11120887845754623
