rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/approx_kl
183.63636363636363,1,2048,7,-301.6191659090909,265,,,,,,,,,,
174.2173913043478,2,4096,18,-297.5898035217391,225,0.0525390625,10,-1.3810260582715272,-0.00783064291899791,1102.5099632263184,0.2,0.0003,544.2612915039062,0.0007921457290649414,0.00794119
167.91666666666666,3,6144,28,-276.59817572222227,216,0.004345703125,20,-1.3777030352503061,-0.0020651219005230815,1232.8115682601929,0.2,0.0003,606.5811767578125,-0.07627332210540771,0.0024310872
166.875,4,8192,38,-256.21748295833333,210,0.084033203125,30,-1.3609969440847636,-0.008312141097849234,959.3808241844177,0.2,0.0003,304.55621337890625,-0.0632176399230957,0.010868202
161.87301587301587,5,10240,49,-241.11059214285714,208,0.05068359375,40,-1.3493562124669551,-0.0045418617723044005,809.3955198287964,0.2,0.0003,246.15492248535156,-0.011761188507080078,0.004934094
161.51315789473685,6,12288,59,-225.49784199999996,206,0.054052734375,50,-1.3426900383085012,-0.004785081883892417,690.3912561416626,0.2,0.0003,276.61944580078125,-0.004979133605957031,0.012887686
167.90588235294118,7,14336,70,-217.09838691764713,203,0.104296875,60,-1.3416511688381434,-0.009684701901278459,520.855277299881,0.2,0.0003,217.57943725585938,-0.005548357963562012,0.0108416155
172.10638297872342,8,16384,85,-207.69044662765958,191,0.048388671875,70,-1.3253849048167468,-0.0059088262569275685,591.2988098144531,0.2,0.0003,244.48048400878906,-0.0002695322036743164,0.007362874
179.22,9,18432,100,-203.66441853000003,183,0.05029296875,80,-1.3112816389650106,-0.006312838572193868,694.8699413299561,0.2,0.0003,419.015380859375,-6.175041198730469e-05,0.005297179
181.08,10,20480,115,-186.41369928,177,0.025048828125,90,-1.31179004535079,-0.003907899215118959,650.6897340774536,0.2,0.0003,263.1508483886719,-0.0005320310592651367,0.005483327
188.07,11,22528,130,-169.19820059000003,173,0.066162109375,100,-1.3181287534534931,-0.007491895832936279,814.0118047714234,0.2,0.0003,370.7813415527344,4.112720489501953e-05,0.008879734
200.33,12,24576,143,-156.52805549,171,0.0396484375,110,-1.3300449524074793,-0.004130067938240245,324.92600831985476,0.2,0.0003,136.7376251220703,-0.00017189979553222656,0.007921735
205.65,13,26624,156,-143.43925317,169,0.01826171875,120,-1.313570625707507,-0.004043863285914995,512.8830684661865,0.2,0.0003,181.0977783203125,-0.00012886524200439453,0.004797358
218.52,14,28672,170,-145.43624835999998,168,0.01142578125,130,-1.2987388368695973,-0.004136682453099639,578.7361899375916,0.2,0.0003,353.736572265625,-2.467632293701172e-05,0.0040011574
227.96,15,30720,184,-141.53594284000002,166,0.02197265625,140,-1.3058928579092026,-0.003880390975973569,592.3440603256225,0.2,0.0003,255.323486328125,-1.5974044799804688e-05,0.0068376153
241.18,16,32768,198,-135.95396479,165,0.185205078125,150,-1.2870595559477807,-0.012850304378662258,335.51584858894347,0.2,0.0003,183.56349182128906,-0.0001424551010131836,0.0145274615
246.97,17,34816,212,-132.81512366,163,0.058056640625,160,-1.2636136807501317,-0.0068625493615400044,269.60260014534,0.2,0.0003,128.91555786132812,-6.67572021484375e-06,0.009225633
266.85,18,36864,229,-122.51522534,160,0.02021484375,170,-1.2804859541356564,-0.005586065078387037,241.1620062828064,0.2,0.0003,152.81781005859375,0.00011628866195678711,0.0048874645
284.02,19,38912,247,-124.60512330000002,157,0.0158203125,180,-1.2890350058674813,-0.004867719585308805,166.28139436244965,0.2,0.0003,96.45065307617188,0.015417814254760742,0.0062940423
296.03,20,40960,262,-118.42482122000001,155,0.01875,190,-1.2748725600540638,-0.007544384442735463,159.94924116134644,0.2,0.0003,46.01356887817383,0.242451012134552,0.0066719996
312.2,21,43008,278,-118.20320068000002,154,0.00400390625,200,-1.2780701350420713,-0.004048306234471966,188.4583847284317,0.2,0.0003,150.42832946777344,0.36087846755981445,0.0038111922
324.62,22,45056,293,-116.54677272999999,153,0.0123046875,210,-1.2841430779546499,-0.006132221686129924,190.730269408226,0.2,0.0003,83.21732330322266,0.4095410704612732,0.0044710534
342.09,23,47104,309,-113.40714894999999,152,0.050390625,220,-1.2304303616285324,-0.008412895994842984,83.48245020508766,0.2,0.0003,19.852375030517578,0.3010137677192688,0.006418662
358.22,24,49152,324,-109.54053940000001,151,0.050390625,230,-1.2844983037561177,-0.013251920411130413,36.678552854061124,0.2,0.0003,12.377389907836914,0.67828369140625,0.008006843
371.22,25,51200,339,-100.56420852999997,150,0.07138671875,240,-1.2870888758450747,-0.008541478213737718,71.86452528238297,0.2,0.0003,27.627727508544922,0.5346236824989319,0.010587916
386.63,26,53248,354,-101.38251114999998,150,0.028076171875,250,-1.0502514136955141,-0.0027363538327335847,128.79907233715056,0.2,0.0003,60.68836975097656,0.5933973789215088,0.0056014443
393.23,27,55296,368,-96.89550981999997,149,0.01630859375,260,-1.2382734466344119,-0.0027427857916336507,109.66333991885185,0.2,0.0003,62.9168815612793,0.7246783971786499,0.00485065
400.64,28,57344,383,-90.56419063999999,149,0.0146484375,270,-1.2801503628492354,-0.0029835813649697228,203.78493406176568,0.2,0.0003,37.92250061035156,0.6482773423194885,0.004415169
411.45,29,59392,406,-85.51747480999998,146,0.074365234375,280,-1.2426687993109227,-0.008314126409823075,83.43611921668052,0.2,0.0003,17.791723251342773,0.7833558320999146,0.011283397
419.94,30,61440,422,-78.3051468,145,0.065087890625,290,-1.0623270457610487,-0.004109242772392463,199.72482674121858,0.2,0.0003,83.53196716308594,0.6783078908920288,0.0076972567
428.37,31,63488,437,-76.43571793999999,145,0.020654296875,300,-1.1449042525142432,-0.003334070164419245,186.20266592502594,0.2,0.0003,141.591552734375,0.6458244323730469,0.0036526837
